id;d;s;ds;t;wSW;wR;kSW;SW;kR;R;ISBN;not_ISBN;OC;kPt;Pt;wPt;claster
16;2;989.5972696;0.964;711.92;0.0;0.225;0;0.0;2;0.45;0.0;3.0;0.0;0;0;0;0
28;2;923.4954494;0.880833333;647.05;0.333333333;0.25;1;0.333333333;1;0.25;0.25;1.166666667;0.0;0;0;0;0
44;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
50;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
51;3;1513.331816;0.936944444;630.8166667;0.0;0.25;0;0.0;1;0.25;0.0;2.0;0.0;0;0;0;0
57;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
58;3;1505.177095;0.893333333;596.8;0.0;0.666666667;0;0.0;2;1.333333333;0.0;2.0;0.0;0;0;0;-1
72;3;1492.887372;0.924166667;620.85;0.0;0.25;0;0.0;1;0.25;0.0;3.0;0.0;0;0;0;0
73;3;1565.333333;0.978333333;663.1;0.0;0.0;0;0.0;0;0.0;0.0;3.0;0.0;0;0;0;0
74;3;1439.402351;0.87;578.6;0.333333333;0.333333333;1;0.333333333;1;0.333333333;0.0;2.0;0.0;0;0;0;0
80;3;1451.995449;0.880833333;587.05;0.333333333;0.25;1;0.333333333;1;0.25;0.5;1.333333333;0.0;0;0;0;0
84;3;1576.888889;0.985555556;668.7333333;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
85;3;1526.516496;0.942222222;634.9333333;0.0;0.333333333;0;0.0;1;0.333333333;1.0;0.5;0.0;0;0;0;0
91;3;1489.774744;0.913333333;612.4;0.0;0.5;0;0.0;1;0.5;0.0;2.0;0.0;0;0;0;0
92;3;1576.888889;0.985555556;668.7333333;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
101;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
106;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
110;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
119;3;1239.984831;0.686111111;435.1666667;0.666666667;0.5;2;1.333333333;1;0.5;0.0;1.833333333;0.0;0;0;0;0
124;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
128;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
142;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
151;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
159;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
161;3;1508.442928;0.933888889;628.4333333;0.0;0.25;0;0.0;1;0.25;0.0;4.166666667;0.0;0;0;0;0
168;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
169;3;1493.324232;0.88;586.4;0.0;0.75;0;0.0;2;1.5;0.0;3.0;0.0;0;0;0;-1
184;3;1480.294274;0.913333333;612.4;0.0;0.333333333;0;0.0;1;0.333333333;0.0;4.0;0.0;0;0;0;0
185;3;1530.666667;0.956666667;646.2;0.0;0.0;0;0.0;0;0.0;0.0;2.0;0.0;0;0;0;0
189;3;1600.0;1.0;680.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.5;0;0;0;0
192;3;1384.289723;0.826666667;544.8;0.5;0.333333333;1;0.5;1;0.333333333;0.25;1.333333333;0.0;0;0;0;0
194;3;1528.882821;0.92;617.6;0.0;0.5;0;0.0;2;1.0;0.0;8.0;0.0;0;0;0;0
212;4;1879.840728;0.739814815;377.0555556;0.333333333;0.444444444;1;0.333333333;3;1.333333333;0.0;6.0;0.0;0;0;0;0
228;4;2111.089875;0.796666667;421.4;0.0;0.583333333;0;0.0;6;3.5;0.0;2.0;0.0;0;0;0;-1
229;4;1968.285173;0.776666667;405.8;0.333333333;0.333333333;3;1.0;1;0.333333333;0.0;3.0;0.0;0;0;0;0
233;4;2206.219947;0.91037037;510.0888889;0.25;0.0;1;0.25;0;0.0;0.5;0.5;0.0;0;0;0;0
