id;d;s;ds;t;wSW;wR;kSW;SW;kR;R;ISBN;not_ISBN;OC;kPt;Pt;wPt;M;claster
105;0.06666666666666667;0.35456761599221187;0.22906802038057994;0.0;0.304166667;0.401851852;1.0;0.7724867723809524;0.6;0.5292682927575253;0.0;0.0;0.0;0;0;0;0.0;0
117;0.06666666666666667;0.31188267706509865;0.5687147016472945;0.16271032274539232;0.5;0.5;0.125;0.15873015873015872;0.13333333333333333;0.14634146342177276;0.666666667;0.125;0.0;0;0;0;0.29166666674999997;0
135;0.06666666666666667;0.5723252830065056;0.8220092412650971;0.15791716098949068;0.166666667;0.0;0.125;0.05291005301587302;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;-1
136;0.06666666666666667;0.4157063759263603;0.7448799139175903;0.24710360591415492;0.166666667;0.288888889;0.125;0.05291005301587302;0.4;0.253658536548959;0.25;0.0;0.0;0;0;0;0.0625;0
137;0.06666666666666667;0.3057571949809275;0.7387186953696946;0.24415202735920494;0.25;0.291666667;0.125;0.07936507936507936;0.13333333333333333;0.0853658536139203;0.0;0.041666666625;0.0;0;0;0;0.041666666625;0
141;0.06666666666666667;0.3301946448996082;0.46245269727027033;0.11180470248005729;0.333333333;0.401851852;0.125;0.10582010571428573;0.6;0.5292682927575253;0.0;0.25;0.0;0;0;0;0.25;0
145;0.06666666666666667;0.6139140829785046;0.2058873864755179;0.06154938252873136;0.583333333;0.75;0.375;0.5555555555555556;0.26666666666666666;0.4390243902653183;0.0;0.0;0.0;0;0;0;0.0;-1
153;0.06666666666666667;0.4361461427089971;0.4495244624682358;0.10561133284669046;0.321428571;0.3125;0.875;0.7142857142857143;0.26666666666666666;0.18292682927721596;0.0;0.0;0.0;0;0;0;0.0;0
157;0.06666666666666667;0.308981132884169;0.5995207943867735;0.30360405120176426;0.25;1.0;0.125;0.07936507936507936;0.06666666666666667;0.14634146342177276;0.2;0.291666666625;0.0;0;0;0;0.341666666625;-1
160;0.06666666666666667;0.37810236329798497;0.0;0.14253489582811685;0.39375;0.372222222;1.0;1.0;1.0;0.8170731707227841;0.25;0.166666666625;0.0;0;0;0;0.229166666625;-1
163;0.06666666666666667;0.3080139515812088;0.737577728059163;0.3697412743354495;0.166666667;0.333333333;0.125;0.05291005301587302;0.2;0.14634146342177276;0.45;0.0;0.0;0;0;0;0.1125;0
174;0.06666666666666667;0.3321290076415531;0.47614429472795183;0.24449960159189663;0.25;0.401851852;0.25;0.15873015873015872;0.6;0.5292682927575253;0.75;0.0;0.0;0;0;0;0.1875;0
202;0.1;1.0;0.5687147016472945;0.06154938252873136;0.416666667;0.306666667;0.25;0.26455026444444446;0.3333333333333333;0.22439024386460443;0.0;0.0;0.0;0;0;0;0.0;0
203;0.1;0.5932808799896856;0.5230760461933418;0.06154938252873136;0.361111111;0.333333333;0.375;0.34391534380952377;0.26666666666666666;0.19512195118024986;0.0;0.0;0.0;0;0;0;0.0;0
204;0.1;0.42660328624335336;0.549758359370352;0.15362914323516502;0.291666667;0.35952381;0.25;0.1851851850793651;0.4666666666666667;0.36829268299357526;0.0;0.0;0.0;0;0;0;0.0;0
207;0.1;0.3234888539248414;0.308574362273781;0.1642239527735718;0.166666667;1.0;0.125;0.05291005301587302;0.2;0.4390243902653183;0.0;0.25;0.0;0;0;0;0.25;-1
209;0.1;0.4210581129137535;0.44594671679209535;0.10389738709070344;0.297222222;0.0;0.75;0.566137566031746;0.0;0.0;0.2;0.0;0.0;0;0;0;0.05;-1
210;0.1;0.33606221195152003;0.3992811915801601;0.08154191248426848;0.375;0.375;0.75;0.7142857142857143;0.26666666666666666;0.21951219513265915;0.0;0.104166666625;0.0;0;0;0;0.104166666625;0
214;0.1;0.3208452247761711;0.51845513228242;0.26476892970136606;0.361111111;0.320833333;0.375;0.34391534380952377;0.26666666666666666;0.18780487800916124;0.0;0.3125;0.0;0;0;0;0.3125;0
215;0.1;0.14236255019145552;0.24011637909285208;0.3837003068595943;0.333333333;0.916666667;0.125;0.10582010571428573;0.4;0.8048780488197502;1.0;0.0;0.0;0;0;0;0.25;-1
219;0.1;0.35701780893469987;0.0833594509099028;0.1824688735007284;0.5;0.621212121;0.125;0.15873015873015872;0.7333333333333333;1.0;0.0;0.625;0.0;0;0;0;0.625;-1
224;0.1;0.310593101903802;0.6828113423359156;0.21736918483204998;0.166666667;0.444444444;0.125;0.05291005301587302;0.2;0.19512195118024986;0.45;0.0;0.0;0;0;0;0.1125;0
225;0.1;0.33612669077759705;0.3291117574334337;0.1740625479567383;0.34;0.466666667;0.625;0.5396825396825397;0.3333333333333333;0.3414634146020226;0.2;0.08125;0.0;0;0;0;0.13125;0
232;0.1;0.5827708420850571;0.6392264243441886;0.06154938252873136;0.2;0.5;0.25;0.126984126984127;0.13333333333333333;0.14634146342177276;0.0;0.0;0.0;0;0;0;0.0;0
235;0.1;0.4565859094916339;0.21566166680427062;0.11971341937729502;0.304166667;0.401851852;1.0;0.7724867723809524;0.6;0.5292682927575253;0.25;0.0;0.0;0;0;0;0.0625;0
